food_collected,total_reward,steps
6,-169.75,99
7,98.0,49
4,-218.75,99
6,-522.0,99
7,83.5,88
4,58.25,99
7,0.5,83
6,94.5,99
5,-194.5,99
6,-2.75,99
6,34.25,99
6,-451.75,99
5,248.75,99
7,131.0,60
7,-94.25,87
6,21.0,99
7,53.75,83
6,129.5,99
6,-399.75,99
7,79.0,55
6,-158.0,99
7,52.0,32
7,58.75,39
4,-25.75,99
6,-346.75,99
7,408.0,83
5,346.75,99
7,120.5,41
6,-209.25,99
6,-80.25,99
6,90.5,99
7,242.25,66
4,156.75,99
7,67.75,54
7,336.25,76
6,59.5,99
6,172.25,99
7,249.5,82
7,279.0,84
6,4.75,99
